ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;ISIN;SECURITY_NAME;TYPE_INSTR;INSTRUMENT_CCY;INSTRUMENT_PRICE;INSTRUMENT_PRICE_EUR;PRICE_DATE;FX_RATE;TRANSACTION_TYPE;EXECUTION_DATE;TRANSACTION_CCY;QUANTITY;AMOUNT_TRANSACTION_CCY;AMOUNT_FUND_CCY;AMOUNT_TRANSACTION_EUR;FX_RATE_EUR;FX_RATE_DATE;MATURITY_DATE;MIC_CODE;TRANSACTION_PRICE;UNREALIZED_PNL;CANCEL_ANULATION;FLAG_FEEDER;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US57636Q1040;MASTERCARD 'A';share;USD;337.02106;286.753021;22/02/2021;1;Purchase on stock market ~;22/02/2021;USD;1500;505531.59;505531.59;430129.531225;.850846;31/03/2021;;;337.02106;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;NL0000009538;ROYAL PHILIPS;share;EUR;47.126087;47.126087;05/02/2021;.831566;Purchase on stock market ~;05/02/2021;EUR;3000;141378.26;170014.42;141378.26;1;31/03/2021;;;47.126087;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;NL0000687663;AERCAP HOLDINGS;share;USD;49.73925;42.320442;24/02/2021;1;Purchase on stock market ~;24/02/2021;USD;2000;99478.5;99478.5;84640.883811;.850846;31/03/2021;;;49.73925;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;JP3435000009;SONY;share;JPY;11650;89.705;02/03/2021;106.725061;Sale on stock market ~;02/03/2021;JPY;6000;69900000.01;654953.95;538230.000077;.0077;31/03/2021;;;11650;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US1890541097;CLOROX;share;USD;196.107615;166.85738;07/01/2021;1;Purchase on stock market ~;07/01/2021;USD;2600;509879.8;509879.8;433829.188311;.850846;31/03/2021;;;196.107615;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;FR0000121261;MICHELIN 'B' NOM.;share;EUR;115.399157;115.399157;03/02/2021;.832467;Purchase on stock market ~;03/02/2021;EUR;3000.00003;346197.48;415869.72;346197.48;1;31/03/2021;;;115.399157;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;FR0000121261;MICHELIN 'B' NOM.;share;EUR;111.669443;111.669443;26/01/2021;.821929;Purchase on stock market ~;26/01/2021;EUR;7000.00007;781686.11;951038.4;781686.11;1;31/03/2021;;;111.669443;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US78409V1044;S&P GLOBAL;share;USD;331.055786;281.677491;05/01/2021;1;Purchase on stock market ~;05/01/2021;USD;700.000007;231739.05;231739.05;197174.243736;.850846;31/03/2021;;;331.055786;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;JP3756600007;NINTENDO;share;JPY;62800;483.56;17/03/2021;109.219972;Purchase on stock market ~;17/03/2021;JPY;400.000004;25120000.26;229994.57;193424.002002;.0077;31/03/2021;;;62800;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;JP3921290007;MERCARI;share;JPY;5380;41.426;10/03/2021;108.625039;Purchase on stock market ~;10/03/2021;JPY;10000;53800000;495281.76;414260;.0077;31/03/2021;;;5380;;20;N;31/03/2021
